,query_id,prediction,answer,validated_answers,f1,exact_match
458,3ca3f0be-f34c-4c74-be52-d324d678daf8,fourth,second,second<sv>second,0.0,0.0
851,630db409-7b5a-436f-b324-c9c7ce13b214,African American,Asian,Asian<sv>Asian,0.0,0.0
351,424e3194-e01a-4c75-b16e-22831416e23d,2008-08 FA Cup,2011–12,2011–12 FA Cup<sv>2004–05,0.57,0.0
778,7fc49432-2cb3-4141-b295-2a013ab07a86,Marc Bulger,Kurt Warner,Kurt Warner<sv>Kurt Warner,0.0,0.0
498,9c2999c6-c405-4a11-a01c-4479e1916768,Kyawswa,three brothers,the three brothers<sv>the three brothers<sv>the three brothers,0.0,0.0
945,54676536-a8c8-4d6d-b7a5-b2cfa11bc0c9,Asian,African Americans,African<sv>African Americans,0.0,0.0
660,7ddfaab0-15e4-44b2-9365-3051b0660778,Houston,their own 46-yard line,46-yard line<sv>46-yard line,0.0,0.0
477,7e432ce6-d123-445f-9045-5277f62bd92f,Colonel Cabrera,General Pintos,General Pintos<sv>Prime Minister Antonio Maura,0.0,0.0
952,25cd7f66-4c81-47b0-ac8d-19456c6ac608,80 and older,10 to 29,10 to 29<sv>10 to 29,0.0,0.0
764,4a8c7592-99d2-4cd3-903a-ba1792959ee4,meeting in Tepelen ⁇ ,the meeting in Podgorica,the meeting in Podgorica<sv>Podgorica,0.57,0.0
440,9694014e-13ce-4cb9-ab62-496fab138d71,52-yard touchdown pass,52-yard,52<sv>Christian Ponder,0.67,0.0
731,bb367048-39bc-45bb-a094-91aa3daa5294,The Colts won the game,The Colts,Colts<sv>Colts<sv>Colts<sv>Colts,0.5,0.0
141,d52f674d-77b2-4104-a3a5-1d2cbe86d08b,Derek Anderson,Brady,Brady<sv>Brady,0.0,0.0
64,a95448ab-5ec2-444c-a056-ccfd4deca040,Broncos,Denver,Denver<sv>Raiders<sv>Raiders,0.0,0.0
676,0587a86c-2d15-4308-9804-69724144de13,Derek Anderson,Cleo Lemon,Lemon<sv>Lemon,0.0,0.0
486,3d281629-25e3-4ecc-8ff1-872449635f19,"290, 000 Indians <ss> Bangladeshis <ss> Pakistanis <ss> Filipinos",55%,55%<sv>more than half,0.0,0.0
422,edee8280-9e8f-4e4b-b70d-4f31f244f843,Hennala,Nastola,Nastola<sv>Nastola,0.0,0.0
762,69738a63-9436-4228-ad0b-4c8cc09ca225,northern Albanian mal ⁇ sor ⁇ ,the northern Albanian malësorë,northern Albanian malësorë<sv>the northern Albanian malësorë,0.5,0.0
741,a6f34174-4fe6-447f-ac69-d41eca7a5be5,Vince Young,Brodie Croyle,Croyle<sv>Brodie Croyle<sv>Croyle<sv>Brodie Croyle,0.0,0.0
853,7b9b81bf-c579-4aff-9a83-e080a61f99f1,those age 65 or older,age 45 to 64,45 to 64<sv>45 to 64,0.0,0.0
748,01eff6d4-e5ca-4ef1-b9ee-8eff9e5e565c,John Carney,Charlie Frye,Drew Brees<sv>Charlie Frye,0.0,0.0
342,10536991-7e88-4a6c-aacf-251de5cd91a3,Spanish,Richelieu hoped Britain and the Dutch would send a fleet to assis,Richelieu<sv>French,0.0,0.0
297,40a072b1-7d32-4b6b-a71a-ac7c59d4fe3e,American,English,English<sv>black or African American,0.4,0.0
1001,976388a0-6060-4d99-9d7e-b3b729edffc3,New York Mets,Kansas City Royals,Kansas City Royals<sv>Kansas City Royals,0.0,0.0
397,cd96f9c9-db17-445e-885c-cc7dabba1aa9,18 Infantry Battalions,Artillery Battalions,Artillery Battalions<sv>22,0.4,0.0
709,d311a72e-e36e-42e9-a66d-a81a84b703a8,Carl Filip,Gustavus Adolphus,Gustavus Adolphus<sv>Gustavus Adolphus,0.0,0.0
434,cee54898-b8a8-4935-8d3e-963bee01e9af,anti-treaty forces,Fine Gael,Fine Gael<sv>Fine Gael<sv>Fine Gael<sv>Fine Gael,0.0,0.0
514,b440b831-32d3-4b22-9133-a2e9e9680838,Nizamiye divisions,four Redif divisions,two Nizamiye divisions<ss>four Redif divisions<sv>Redif divisions,0.5,0.0
407,0f1b9081-1857-409e-bbba-9ee39aece85d,Pu'er Prefecture,the Mien,the Mien<sv>Qing China,0.0,0.0
960,1120cb29-095e-4e85-a6ef-84b4cc09523b,2016-2017,2015-2016,2015-2016<sv>2015-2016,0.5,0.0
96,00ef348f-4050-4af4-9400-f553ac9b66a6,not to attack the town,my biggest mistake,biggest mistake<sv>biggest mistake<sv>biggest mistake<sv>Riffian,0.0,0.0
959,bf4502cc-ea26-4a01-a942-94c5c0353afb,adult population of smokers,smokers,smokers<sv>smokers,0.4,0.0
26,ff38c574-0e42-4a1f-89fb-05ac0f82c6cd,Ethiopia closed the U.S. military mission,Soviet Union approaching Mengistu with aid,Soviet Union approaching Mengistu<sv>offers of aid<sv>offers of aid,0.0,0.0
734,65c4e01b-f4e9-4ca5-b3fb-ffb63bf3c745,Matthew Stafford,Brett Favre,Brett Favre<sv>Brett Favre<sv>Favre,0.0,0.0
547,f7fa0ed9-275a-4936-b379-bb369d4c1f97,Titans,Jets,Jets<sv>Jets<sv>Jets<sv>Baker,0.0,0.0
1005,fbe4d917-c344-4edf-b40e-449a71695b23,Anne,George,George Peele<sv>George,0.0,0.0
301,f8d54032-6d04-4cc5-82f2-680d1d4cbf5f,Civil Guard member,agricultural worker,an agricultural worker<sv>An agricultural worker,0.0,0.0
833,02644f23-a380-4920-8ec4-e15ad624ac34,close competitors Oldsmobile <ss> Ford Motor Company <ss> Maxwell automobile,Eugene Richard,Eugene Richard<sv>Eugene Richard,0.0,0.0
603,30b93ed7-d946-4431-afa9-995049afb74e,B Division,Wanderers,Wanderers<sv>Wanderers,0.0,0.0
459,12e9162d-af52-4a45-95e4-2bb20a1502fb,Jeff Reed,Phil Dawson,Phil Dawson<sv>Phil Dawson<sv>Phil Dawson<sv>Phil Dawson,0.0,0.0
52,c962f3f0-1cec-4bf0-81a6-f23db872347e,the Bengals,Jaguars,Jaguars<sv>Jaguars,0.0,0.0
450,fd42f71a-a133-480f-b1f2-9ab60e3cbf10,Plaxico Burress,Lawrence Tynes,Lawrence Tynes<sv>Lawrence Tynes,0.0,0.0
996,d070b0bb-cf79-4d15-af15-ea62c9fe6812,2,bulbar polio,bulbar polio<sv>bulbar polio,0.0,0.0
232,4af89ed2-3a8e-4c71-8f04-eb7aa0db7ba1,Outlander novels,Waverley novels,Waverley novels<sv>Waverley novels,0.5,0.0
826,9ddd9bd3-d0cc-4bc8-8caa-6ff5c30e4f98,Philip Rivers,Drew Brees,Brees<sv>Brees,0.0,0.0
